## htsjdk.samtools.metrics.StringHeader
# picard.sam.markduplicates.MarkDuplicates INPUT=[/var/www/html/momps_website/src/uploads/10af8215-8ba4-4a93-8b7c-4238d41067ab/10af8215-8ba4-4a93-8b7c-4238d41067ab.bam] OUTPUT=/var/www/html/momps_website/src/uploads/10af8215-8ba4-4a93-8b7c-4238d41067ab/10af8215-8ba4-4a93-8b7c-4238d41067ab.dedup.bam METRICS_FILE=/var/www/html/mompS/matrix_ncbi.txt    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag REMOVE_DUPLICATES=false ASSUME_SORTED=false DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json
## htsjdk.samtools.metrics.StringHeader
# Started on: Fri Jan 20 21:12:32 IST 2017

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Technion	351	2460	0	6252469	319	178	2	0.128059	16334

## HISTOGRAM	java.lang.Double
BIN	VALUE
1.0	1.000751
2.0	1.861584
3.0	2.602061
4.0	3.239008
5.0	3.786902
6.0	4.258193
7.0	4.663592
8.0	5.01231
9.0	5.312272
10.0	5.570296
11.0	5.792244
12.0	5.983161
13.0	6.147386
14.0	6.288649
15.0	6.410162
16.0	6.514686
17.0	6.604596
18.0	6.681935
19.0	6.748461
20.0	6.805686
21.0	6.854911
22.0	6.897252
23.0	6.933674
24.0	6.965004
25.0	6.991954
26.0	7.015135
27.0	7.035075
28.0	7.052228
29.0	7.066982
30.0	7.079674
31.0	7.090591
32.0	7.099981
33.0	7.108059
34.0	7.115007
35.0	7.120984
36.0	7.126126
37.0	7.130548
38.0	7.134352
39.0	7.137624
40.0	7.140439
41.0	7.14286
42.0	7.144943
43.0	7.146734
44.0	7.148275
45.0	7.149601
46.0	7.150741
47.0	7.151722
48.0	7.152566
49.0	7.153291
50.0	7.153916
51.0	7.154453
52.0	7.154915
53.0	7.155312
54.0	7.155654
55.0	7.155948
56.0	7.156201
57.0	7.156418
58.0	7.156605
59.0	7.156766
60.0	7.156905
61.0	7.157024
62.0	7.157126
63.0	7.157214
64.0	7.15729
65.0	7.157355
66.0	7.157411
67.0	7.15746
68.0	7.157501
69.0	7.157537
70.0	7.157567
71.0	7.157594
72.0	7.157617
73.0	7.157636
74.0	7.157653
75.0	7.157667
76.0	7.15768
77.0	7.157691
78.0	7.1577
79.0	7.157708
80.0	7.157714
81.0	7.15772
82.0	7.157725
83.0	7.15773
84.0	7.157733
85.0	7.157737
86.0	7.157739
87.0	7.157742
88.0	7.157744
89.0	7.157746
90.0	7.157747
91.0	7.157748
92.0	7.157749
93.0	7.15775
94.0	7.157751
95.0	7.157752
96.0	7.157753
97.0	7.157753
98.0	7.157754
99.0	7.157754
100.0	7.157754

